run_id,env_id,model,temperature,attempt_idx,n_eval_episodes,seed,mean_reward,std_reward,min_reward,max_reward,total_env_steps,n_failures,status,policy_path,trace_path
one_shot_Pendulum-v1_llama3.1_8b_temp0.0_attempt0_20260622_154135,Pendulum-v1,llama3.1:8b,0.0,0,10,42,-1105.6270110588598,361.9326265759853,-1714.4090981516958,-519.721882990859,2000,0,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/policies/one_shot_Pendulum-v1_llama3.1_8b_temp0.0_attempt0_20260622_154135_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/sensory_motor_traces/one_shot_Pendulum-v1_llama3.1_8b_temp0.0_attempt0_20260622_154135_trace.jsonl
one_shot_Pendulum-v1_llama3.1_8b_temp0.0_attempt1_20260622_154217,Pendulum-v1,llama3.1:8b,0.0,1,10,43,-1155.3297309663208,305.7488944391808,-1707.6693806772198,-879.1079979344871,2000,0,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/policies/one_shot_Pendulum-v1_llama3.1_8b_temp0.0_attempt1_20260622_154217_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/sensory_motor_traces/one_shot_Pendulum-v1_llama3.1_8b_temp0.0_attempt1_20260622_154217_trace.jsonl
one_shot_Pendulum-v1_llama3.1_8b_temp0.0_attempt2_20260622_154250,Pendulum-v1,llama3.1:8b,0.0,2,10,44,-1252.22538748238,357.8104057451749,-1866.519250355988,-879.1079979344871,2000,0,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/policies/one_shot_Pendulum-v1_llama3.1_8b_temp0.0_attempt2_20260622_154250_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/sensory_motor_traces/one_shot_Pendulum-v1_llama3.1_8b_temp0.0_attempt2_20260622_154250_trace.jsonl
one_shot_Pendulum-v1_llama3.1_8b_temp0.0_attempt3_20260622_154323,Pendulum-v1,llama3.1:8b,0.0,3,10,45,-1228.125230410099,350.01559307154776,-1866.519250355988,-879.1079979344871,2000,0,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/policies/one_shot_Pendulum-v1_llama3.1_8b_temp0.0_attempt3_20260622_154323_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/sensory_motor_traces/one_shot_Pendulum-v1_llama3.1_8b_temp0.0_attempt3_20260622_154323_trace.jsonl
one_shot_Pendulum-v1_llama3.1_8b_temp0.0_attempt4_20260622_154356,Pendulum-v1,llama3.1:8b,0.0,4,10,46,-1272.984670516768,330.61882042695566,-1866.519250355988,-883.2493625247894,2000,0,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/policies/one_shot_Pendulum-v1_llama3.1_8b_temp0.0_attempt4_20260622_154356_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/sensory_motor_traces/one_shot_Pendulum-v1_llama3.1_8b_temp0.0_attempt4_20260622_154356_trace.jsonl
one_shot_Pendulum-v1_llama3.1_8b_temp0.4_attempt0_20260622_154429,Pendulum-v1,llama3.1:8b,0.4,0,10,42,-1281.0903220761777,153.19967781398017,-1520.121398835243,-1115.336787262615,2000,0,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/policies/one_shot_Pendulum-v1_llama3.1_8b_temp0.4_attempt0_20260622_154429_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/sensory_motor_traces/one_shot_Pendulum-v1_llama3.1_8b_temp0.4_attempt0_20260622_154429_trace.jsonl
one_shot_Pendulum-v1_llama3.1_8b_temp0.4_attempt1_20260622_154509,Pendulum-v1,llama3.1:8b,0.4,1,10,43,-1335.936599410812,152.6725739424665,-1588.0520331851162,-1153.6527474194436,2000,0,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/policies/one_shot_Pendulum-v1_llama3.1_8b_temp0.4_attempt1_20260622_154509_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/sensory_motor_traces/one_shot_Pendulum-v1_llama3.1_8b_temp0.4_attempt1_20260622_154509_trace.jsonl
one_shot_Pendulum-v1_llama3.1_8b_temp0.4_attempt2_20260622_154557,Pendulum-v1,llama3.1:8b,0.4,2,10,44,-1286.7572387004718,179.07310856966416,-1519.3317081936143,-1079.7399791007606,2000,0,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/policies/one_shot_Pendulum-v1_llama3.1_8b_temp0.4_attempt2_20260622_154557_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/sensory_motor_traces/one_shot_Pendulum-v1_llama3.1_8b_temp0.4_attempt2_20260622_154557_trace.jsonl
one_shot_Pendulum-v1_llama3.1_8b_temp0.4_attempt3_20260622_154630,Pendulum-v1,llama3.1:8b,0.4,3,10,45,-1247.4123899944757,373.4867145740105,-1886.457448490155,-744.5493688365402,2000,0,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/policies/one_shot_Pendulum-v1_llama3.1_8b_temp0.4_attempt3_20260622_154630_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/sensory_motor_traces/one_shot_Pendulum-v1_llama3.1_8b_temp0.4_attempt3_20260622_154630_trace.jsonl
one_shot_Pendulum-v1_llama3.1_8b_temp0.4_attempt4_20260622_154707,Pendulum-v1,llama3.1:8b,0.4,4,10,46,-1847.2306336908127,77.02625720707954,-1961.198172308092,-1735.932816056449,2000,15,runtime_failures,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/policies/one_shot_Pendulum-v1_llama3.1_8b_temp0.4_attempt4_20260622_154707_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/sensory_motor_traces/one_shot_Pendulum-v1_llama3.1_8b_temp0.4_attempt4_20260622_154707_trace.jsonl
